Security,IVV US Equity,
Start Date,2025/5/15 0:00,
End Date,2026/5/15 0:00,
Period,D,
Currency,USD,
,,
Date,EQY_SH_OUT,PX_BID
2026/5/15,#N/A N/A,744.45
2026/5/14,1112.5,751.54
2026/5/13,1112.2,745.74
2026/5/12,1110.6,741.64
2026/5/11,1110.55,742.65
2026/5/8,1109.05,740.97
2026/5/7,1108.95,734.96
2026/5/6,1108.55,737.2
2026/5/5,1107.7,727.02
2026/5/4,1108.6,721.4
2026/5/1,1108.2,723.96
2026/4/30,1107.95,721.65
2026/4/29,1104.7,714.88
2026/4/28,1104.25,714.95
2026/4/27,1104.85,718.48
2026/4/24,1100.5,717.27
2026/4/23,1100.7,711.71
2026/4/22,1098.1,714.48
2026/4/21,1097.95,707.32
2026/4/20,1097.85,711.96
2026/4/17,1098.4,713.29
2026/4/16,1098.3,704.75
2026/4/15,1097.95,703.07
2026/4/14,1097.65,697.59
2026/4/13,1096.25,689.2
2026/4/10,1094.55,682.45
2026/4/9,1094.85,682.95
2026/4/8,1095.65,678.97
2026/4/7,1095.55,662.22
2026/4/6,1095.4,661.88
2026/4/2,1096.25,658.86
2026/4/1,1102.4,658.09
2026/3/31,1102.25,653.14
2026/3/30,1102.85,634.88
2026/3/27,1101.7,636.95
2026/3/26,1101.75,647.97
2026/3/25,1098.05,659.69
2026/3/24,1078.7,656.13
2026/3/23,1069.85,658.31
2026/3/20,1042.7,651.42
2026/3/19,1039.7,660.9
2026/3/18,1035.35,662.74
2026/3/17,1020.6,671.92
2026/3/16,1005.5,671.91
2026/3/13,1009.1,665.21
2026/3/12,1045.5,668.98
2026/3/11,1057.75,679.37
2026/3/10,1062.15,680.07
2026/3/9,1078.15,681.32
2026/3/6,1079.95,675.44
2026/3/5,1080.9,684.46
2026/3/4,1082.7,688.22
2026/3/3,1084,683.33
2026/3/2,1088.85,689.43
2026/2/27,1088.8,689.33
2026/2/26,1088.8,692.41
2026/2/25,1087.9,696.19
2026/2/24,1088.2,690.43
2026/2/23,1088.2,685.48
2026/2/20,1089.15,692.45
2026/2/19,1089.5,687.6
2026/2/18,1092.4,689.29
2026/2/17,1093.5,685.79
2026/2/13,1092.95,684.65
2026/2/12,1094.1,684.28
2026/2/11,1095.75,694.97
2026/2/10,1096.8,695.15
2026/2/9,1097.05,697.02
2026/2/6,1097.95,693.72
2026/2/5,1099.3,680.45
2026/2/4,1100.2,689.1
2026/2/3,1099.35,692.52
2026/2/2,1099,698.56
2026/1/30,1099.1,695.01
2026/1/29,1099.2,697.06
2026/1/28,1097.8,698.55
2026/1/27,1096.55,698.64
2026/1/26,1095.75,695.82
2026/1/23,1096.65,692.25
2026/1/22,1099.5,691.97
2026/1/21,1099.7,688.34
2026/1/20,1100.2,680.62
2026/1/16,1102.3,694.65
2026/1/15,1102.35,695.24
2026/1/14,1108.45,693.51
2026/1/13,1111.95,696.79
2026/1/12,1108.6,698.22
2026/1/9,1111.45,697.08
2026/1/8,1097.05,692.49
2026/1/7,1095.25,692.63
2026/1/6,1094.85,694.83
2026/1/5,1106.85,690.77
2026/1/2,1107.5,686.17
2025/12/31,1111.6,684.87
2025/12/30,1110.7,689.94
2025/12/29,1110.05,690.83
2025/12/26,1108.9,693.27
2025/12/24,1108.8,693.32
2025/12/23,1103.1,690.92
2025/12/22,1107.7,687.79
2025/12/19,1126.35,683.54
2025/12/18,1108.8,677.45
2025/12/17,1068.05,672.23
2025/12/16,1032.85,679.82
2025/12/15,981.65,684.1
2025/12/12,986.15,685.13
2025/12/11,993.5,692.59
2025/12/10,1020.85,690.91
2025/12/9,1041.75,686.46
2025/12/8,1046.25,687.05
2025/12/5,1051.2,689.05
2025/12/4,1068.55,687.82
2025/12/3,1067.65,687.21
2025/12/2,1065.65,684.87
2025/12/1,1066.8,683.68
2025/11/28,1066.7,686.77
2025/11/26,1066.6,682.99
2025/11/25,1067.05,678.32
2025/11/24,1066.35,672.06
2025/11/21,1064.45,662.31
2025/11/20,1065.05,655.7
2025/11/19,1063.4,665.9
2025/11/18,1061.95,663.39
2025/11/17,1061,668.94
2025/11/14,1060.35,675.25
2025/11/13,1057.25,675.39
2025/11/12,1055.25,686.65
2025/11/11,1055.6,686.2
2025/11/10,1055.35,684.7
2025/11/7,1053.95,674.24
2025/11/6,1051.95,673.53
2025/11/5,1052.95,680.83
2025/11/4,1050,678.68
2025/11/3,1049.2,686.72
2025/10/31,1048.9,685.32
2025/10/30,1048.9,683.31
2025/10/29,1049.5,690.66
2025/10/28,1049.05,690.34
2025/10/27,1048.75,688.54
2025/10/24,1048.05,680.43
2025/10/23,1049.25,674.87
2025/10/22,1049.5,671.05
2025/10/21,1048.7,674.52
2025/10/20,1050.2,674.55
2025/10/17,1048.35,667.56
2025/10/16,1048.65,663.88
2025/10/15,1048.85,668.32
2025/10/14,1044.95,665.42
2025/10/13,1045.05,666.28
2025/10/10,1044.85,656.28
2025/10/9,1044.9,674.45
2025/10/8,1044,676.35
2025/10/7,1044.05,672.4
2025/10/6,1043.5,674.85
2025/10/3,1042.65,672.43
2025/10/2,1045.95,672.4
2025/10/1,1046.85,671.76
2025/9/30,1046.9,669.29
2025/9/29,1047.55,666.8
2025/9/26,1049.65,664.92
2025/9/25,1046.65,661.14
2025/9/24,1032.45,664.24
2025/9/23,1002.2,666.45
2025/9/22,996.15,669.97
2025/9/19,989.7,666.81
2025/9/18,988.15,663.63
2025/9/17,980.95,660.5
2025/9/16,962.6,661.27
2025/9/15,959.05,664.18
2025/9/12,962.7,660.7
2025/9/11,969.6,660.9
2025/9/10,976.95,655.47
2025/9/9,1009.25,653.56
2025/9/8,1019.6,652.05
2025/9/5,1023.45,650.4
2025/9/4,1020.85,652.21
2025/9/3,1021.7,646.83
2025/9/2,1021.35,643.48
2025/8/29,1019.3,648.23
2025/8/28,1019.6,652.09
2025/8/27,1020.75,649.8
2025/8/26,1020.4,648.32
2025/8/25,1020.15,645.67
2025/8/22,1020.4,648.42
2025/8/21,1019.95,638.7
2025/8/20,1019.95,641.17
2025/8/19,1019.8,642.9
2025/8/18,1019.4,646.41
2025/8/15,1019.1,646.6
2025/8/14,1018.65,648.11
2025/8/13,1018.4,648.02
2025/8/12,1019.1,645.76
2025/8/11,1017.8,638.93
2025/8/8,1017.75,640.22
2025/8/7,1016.7,635.38
2025/8/6,1014.75,635.74
2025/8/5,1014.3,631.05
2025/8/4,1013.7,634.11
2025/8/1,1013,624.7
2025/7/31,1011.8,634.98
2025/7/30,1007.2,637.57
2025/7/29,1007.3,638.31
2025/7/28,1007.1,639.95
2025/7/25,1003.7,640.09
2025/7/24,1004.35,637.5
2025/7/23,1006,637.21
2025/7/22,1006.4,631.85
2025/7/21,1007.2,631.75
2025/7/18,1007.25,630.6
2025/7/17,1007.65,630.97
2025/7/16,1007.45,627.17
2025/7/15,1007.6,625.08
2025/7/14,1006.6,627.72
2025/7/11,1006.6,626.58
2025/7/10,1006.1,628.83
2025/7/9,1005.95,626.98
2025/7/8,1006.05,623.26
2025/7/7,1005.5,623.75
2025/7/3,1007.75,628.31
2025/7/2,1006.85,623.33
2025/7/1,1006.55,620.53
2025/6/30,1004.35,620.81
2025/6/27,1002.75,617.7
2025/6/26,993,614.79
2025/6/25,991,609.96
2025/6/24,970.5,609.63
2025/6/23,970.05,602.94
2025/6/20,969.15,596.99
2025/6/18,960.6,598.53
2025/6/17,958.85,598.63
2025/6/16,952.9,603.78
2025/6/13,945.1,599.84
